Sample,Location,Salinity,Observed,Chao1,Shannon
W_BIL_ST1_2025NOV_01,Biloxi Bay,Freshwater,1439,1528.631579,6.131026407
W_BIL_ST1_2025NOV_02,Biloxi Bay,Freshwater,1772,1885.940397,6.212889998
W_BIL_ST2_2025NOV_01,Biloxi Bay,Freshwater,1581,1673.355372,6.469712408
W_BIL_ST2_2025NOV_02,Biloxi Bay,Freshwater,1807,1944.462121,6.582612315
W_BIL_ST3_2025NOV_01,Biloxi Bay,Freshwater,1787,1808.913043,6.644877729
W_BIL_ST3_2025NOV_02,Biloxi Bay,Freshwater,1581,1703.46,6.54491338
W_BIL_ST4_2025NOV_01,Biloxi Bay,Freshwater,1707,1805.436508,6.519289403
W_BIL_ST5_2025NOV_01,Biloxi Bay,Moderate Salinity,1990,2094.884393,6.589011892
W_BIL_ST5_2025NOV_02,Biloxi Bay,Moderate Salinity,2053,2176.13125,6.620578518
W_BIL_ST6_2025NOV_01,Biloxi Bay,Moderate Salinity,1823,1879.525424,6.380341664
W_BIL_ST6_2025NOV_02,Biloxi Bay,Moderate Salinity,1837,1925.439024,6.491063252
W_BIL_ST7_2025NOV_01,Biloxi Bay,Moderate Salinity,1567,1637.8875,6.641713094
W_BIL_ST7_2025NOV_02,Biloxi Bay,Moderate Salinity,1812,1914.522936,6.661698288
W_BIL_ST8_2025NOV_01,Biloxi Bay,High Salinity,1951,2070.379845,6.760103147
W_BIL_ST8_2025NOV_02,Biloxi Bay,High Salinity,2045,2176.793103,6.80711081
W_BIL_ST9_2025NOV_01,Biloxi Bay,High Salinity,1936,2033.827869,6.72415554
W_BIL_ST9_2025NOV_02,Biloxi Bay,High Salinity,1992,2095.345324,6.843197652
W_PAS_ST1_2025NOV_01,Pascagoula Bay,Freshwater,2849,3047.45098,7.183772486
W_PAS_ST1_2025NOV_02,Pascagoula Bay,Freshwater,2335,2532.862245,6.995821511
W_PAS_ST10_2025NOV_01,Pascagoula Bay,High Salinity,2400,2470.076336,7.186857716
W_PAS_ST10_2025NOV_02,Pascagoula Bay,High Salinity,2206,2365.740741,7.019277828
W_PAS_ST2_2025NOV_01,Pascagoula Bay,Freshwater,2644,2945.969112,6.841219792
W_PAS_ST2_2025NOV_02,Pascagoula Bay,Freshwater,2651,2900.728033,6.974780135
W_PAS_ST3_2025NOV_01,Pascagoula Bay,Freshwater,2422,2686.202703,6.563360659
W_PAS_ST3_2025NOV_02,Pascagoula Bay,Freshwater,2495,2766.972973,6.637243548
W_PAS_ST4_2025NOV_01,Pascagoula Bay,Moderate Salinity,2763,3064.968966,6.787786291
W_PAS_ST4_2025NOV_02,Pascagoula Bay,Moderate Salinity,2001,2142.107345,6.606274656
W_PAS_ST5_2025NOV_01,Pascagoula Bay,Moderate Salinity,2450,2733.615702,6.708202154
W_PAS_ST5_2025NOV_02,Pascagoula Bay,Moderate Salinity,2128,2288.190955,6.682185216
W_PAS_ST6_2025NOV_01,Pascagoula Bay,Moderate Salinity,2219,2411.224771,6.441374812
W_PAS_ST6_2025NOV_02,Pascagoula Bay,Moderate Salinity,2250,2485.514563,6.593581427
W_PAS_ST7_2025NOV_01,Pascagoula Bay,Moderate Salinity,2312,2494.991266,6.637042672
W_PAS_ST7_2025NOV_02,Pascagoula Bay,Moderate Salinity,2283,2490.638889,6.681144132
W_PAS_ST8_2025NOV_01,Pascagoula Bay,High Salinity,1917,2055.46875,6.491138697
W_PAS_ST8_2025NOV_02,Pascagoula Bay,High Salinity,1978,2197.721519,6.499786626
W_PAS_ST9_2025NOV_01,Pascagoula Bay,High Salinity,535,2453.9584,7.3924646
W_PAS_ST9_2025NOV_02,Pascagoula Bay,High Salinity,2316,2498.540816,6.887332214
